# Bloque abierto 13/08 -> 31/08. OT emitidas (carpeta 15RgLh8xkYK7uXafxTqfs_7wzF-FYx0Ov)
# que NO tienen hoja anotada de vuelta del campo: la columna "Consumo real" esta vacia en todas.
# Las cantidades de abajo son PLAN IMPRESO. No imputar como consumo (ver paso 5.b).
ot,fecha,establecimiento,producto,plan_cantidad,unidad
752,2026-08-13,LA MANGA,MCPA 75% ATANOR,44.30,L
752,2026-08-13,LA MANGA,METSULFURON,0.44,kg
752,2026-08-13,LA MANGA,PINOXADEN AXIAL PLUS,53.16,L
752,2026-08-13,LA MANGA,VITAGROW RIZOBACTER,13.29,kg
752,2026-08-13,LA MANGA,COADYUVANTE TTM,17.72,L
753,2026-08-13,LA MANGA,BROMOXINIL,53.66,L
753,2026-08-13,LA MANGA,MCPA 75% ATANOR,46.00,L
753,2026-08-13,LA MANGA,PINOXADEN AXIAL PLUS,46.00,L
753,2026-08-13,LA MANGA,VITAGROW RIZOBACTER,11.50,kg
753,2026-08-13,LA MANGA,COADYUVANTE TTM,15.33,L
754,2026-08-13,DON FEDERICO,BROMOXINIL,184.00,L
754,2026-08-13,DON FEDERICO,MCPA 75% ATANOR,138.00,L
754,2026-08-13,DON FEDERICO,PINOXADEN AXIAL PLUS,138.00,L
754,2026-08-13,DON FEDERICO,COADYUVANTE TTM,46.00,L
755,2026-08-19,CIERVO BLANCO,2,4-D HERBIFEN ADVANCE,121.00,L
755,2026-08-19,CIERVO BLANCO,DIFLUFENICAN 50% SC,36.30,L
755,2026-08-19,CIERVO BLANCO,PANZER GOLD,242.00,L
755,2026-08-19,CIERVO BLANCO,COADYUVANTE TTM,24.20,L
756,2026-08-19,CIERVO BLANCO,2,4-D HERBIFEN ADVANCE,133.20,L
756,2026-08-19,CIERVO BLANCO,FLUMIOXAZIN 48% INSUAGRO,16.65,L
756,2026-08-19,CIERVO BLANCO,PANZER GOLD,222.00,L
756,2026-08-19,CIERVO BLANCO,COADYUVANTE TTM,22.20,L
757,2026-08-19,CIERVO BLANCO,BROMOXINIL,74.20,L
757,2026-08-19,CIERVO BLANCO,MCPA 75% ATANOR,63.60,L
757,2026-08-19,CIERVO BLANCO,PINXIT (GEN.AXIAL),53.00,L
757,2026-08-19,CIERVO BLANCO,VITAGROW RIZOBACTER,5.85,kg
757,2026-08-19,CIERVO BLANCO,COADYUVANTE TTM,21.20,L
758,2026-08-19,LA CELINA,2,4-D HERBIFEN ADVANCE,74.40,L
758,2026-08-19,LA CELINA,DIFLUFENICAN 50% SC,18.60,L
758,2026-08-19,LA CELINA,PANZER GOLD,124.00,L
758,2026-08-19,LA CELINA,COADYUVANTE TTM,12.40,L
759,2026-08-19,LA CELINA,BROMOXINIL,51.10,L
759,2026-08-19,LA CELINA,MCPA 75% ATANOR,43.80,L
759,2026-08-19,LA CELINA,PINXIT (GEN.AXIAL),43.80,L
759,2026-08-19,LA CELINA,VITAGROW RIZOBACTER,10.95,kg
759,2026-08-19,LA CELINA,COADYUVANTE TTM,14.60,L
760,2026-08-19,CIERVO BLANCO,EUDOR CLETODIM HELM,12.60,L
760,2026-08-19,CIERVO BLANCO,PANZER GOLD,14.00,L
760,2026-08-19,CIERVO BLANCO,COADYUVANTE TTM,1.40,L
# --- CONSUMO REAL (manuscrito) incorporado en la corrida del 02/09/2026 ---
# Las OT 752, 753 y 754 volvieron anotadas. Estas cifras REEMPLAZAN al plan de arriba.
# ot,fecha_aplicacion,producto,consumo_real,unidad
752,2026-08-18,MCPA 75% ATANOR,45.00,L
752,2026-08-18,METSULFURON,0.400,kg
752,2026-08-18,PINOXADEN AXIAL PLUS,55.00,L
752,2026-08-18,VITAGROW RIZOBACTER,13.00,kg
752,2026-08-18,COADYUVANTE TTM,20.00,L
753,2026-08-19,BROMOXINIL,55.00,L
753,2026-08-19,MCPA 75% ATANOR,45.00,L
753,2026-08-19,PINOXADEN AXIAL PLUS,45.00,L
753,2026-08-19,VITAGROW RIZOBACTER,11.00,kg
753,2026-08-19,COADYUVANTE TTM,15.00,L
754,2026-08-23,BROMOXINIL,150.00,L
754,2026-08-23,MCPA 75% ATANOR,140.00,L
754,2026-08-23,PINOXADEN AXIAL PLUS,140.00,L
754,2026-08-23,COADYUVANTE TTM,50.00,L
